order_id,customer_id,payment,order_date,delivery_date
1,64,30811,2021-8-30,2021-09-24
2,473,50490,2021-2-3,2021-02-13
3,774,46763,2021-10-8,2021-11-03
4,433,39782,2021-5-6,2021-05-19
5,441,14719,2021-3-23,2021-03-24
6,800,16197,2021-9-9,2021-10-05
7,626,37666,2021-4-5,2021-04-11
8,58,28484,2021-4-12,2021-05-01
9,852,12896,2021-5-1,2021-05-11
10,659,21922,2021-10-15,2021-10-16
11,785,36624,2021-6-15,2021-06-30
12,120,55507,2021-6-30,2021-07-11
13,204,57810,2021-10-15,2021-10-31
14,957,21270,2021-3-29,2021-04-12
15,468,15488,2021-9-22,2021-10-08
16,564,36479,2021-7-7,2021-07-08
17,614,51822,2021-2-9,2021-02-11
18,299,22902,2021-1-1,2021-01-03
19,513,56754,2021-8-30,2021-09-10
20,789,45129,2021-1-13,2021-01-20
21,124,11261,2021-4-4,2021-04-17
22,180,36088,2021-5-28,2021-06-09
23,652,45711,2021-5-17,2021-05-22
24,469,14566,2021-9-4,2021-09-20
25,562,47075,2021-7-4,2021-07-08
26,732,15964,2021-4-25,2021-05-04
27,443,35513,2021-5-16,2021-05-28
28,206,29968,2021-8-19,2021-09-04
29,993,57645,2021-3-22,2021-03-28
30,260,59350,2021-7-7,2021-07-26
31,727,15722,2021-3-11,2021-04-05
32,627,24976,2021-6-17,2021-07-14
33,588,52945,2021-7-1,2021-07-07
34,412,36244,2021-5-23,2021-05-30
35,358,49665,2021-8-31,2021-09-07
36,51,32494,2021-8-22,2021-09-04
37,78,53949,2021-7-7,2021-07-18
38,809,46219,2021-2-3,2021-02-19
39,466,23990,2021-2-26,2021-03-20
40,86,56657,2021-1-7,2021-01-19
41,790,53386,2021-1-3,2021-01-09
42,690,33993,2021-7-29,2021-08-02
43,570,22839,2021-7-13,2021-08-03
44,849,17071,2021-9-7,2021-09-22
45,571,21738,2021-5-30,2021-06-21
46,922,25378,2021-6-22,2021-07-04
47,791,35453,2021-4-21,2021-04-23
48,620,31712,2021-4-16,2021-04-23
49,336,24219,2021-1-22,2021-02-13
50,454,50310,2021-9-16,2021-09-18
51,399,18423,2021-2-19,2021-02-26
52,493,32155,2021-10-6,2021-10-29
53,528,10517,2021-4-22,2021-05-02
54,195,13681,2021-4-25,2021-05-17
55,873,55650,2021-4-8,2021-04-25
56,587,17149,2021-1-23,2021-02-18
57,163,41495,2021-2-27,2021-03-13
58,332,42861,2021-2-2,2021-02-10
59,843,21858,2021-1-31,2021-02-27
60,301,31491,2021-2-5,2021-02-28
61,158,42290,2021-4-16,2021-04-28
62,93,37952,2021-7-30,2021-08-13
63,556,27577,2021-2-11,2021-03-08
64,167,23668,2021-1-24,2021-02-15
65,388,22051,2021-6-26,2021-07-22
66,631,42774,2021-8-14,2021-08-22
67,504,52694,2021-5-22,2021-06-17
68,180,20552,2021-2-12,2021-02-18
69,96,40619,2021-3-8,2021-03-28
70,802,11279,2021-5-15,2021-05-26
71,795,20283,2021-2-14,2021-02-16
72,610,40072,2021-3-13,2021-03-16
73,965,16715,2021-7-24,2021-08-19
74,391,39655,2021-2-23,2021-02-27
75,68,16667,2021-8-24,2021-09-15
76,470,22762,2021-6-18,2021-06-26
77,680,56675,2021-4-19,2021-04-29
78,681,58179,2021-5-13,2021-05-29
79,236,54340,2021-3-16,2021-03-25
80,872,59554,2021-4-26,2021-05-20
81,736,30150,2021-6-13,2021-06-15
82,927,32502,2021-2-2,2021-02-27
83,537,39729,2021-6-25,2021-07-01
84,181,43438,2021-8-26,2021-09-20
85,251,43533,2021-3-10,2021-03-22
86,874,27045,2021-8-5,2021-08-11
87,325,32961,2021-6-20,2021-07-16
88,567,10904,2021-7-19,2021-08-15
