product_id,product_type,product_name,size,colour,price,quantity,description
0,Shirt,Oxford Cloth,XS,red,114,66,"A red coloured, XS sized, Oxford Cloth Shirt"
1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt"
2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt"
3,Shirt,Oxford Cloth,L,red,114,69,"A red coloured, L sized, Oxford Cloth Shirt"
4,Shirt,Oxford Cloth,XL,red,114,47,"A red coloured, XL sized, Oxford Cloth Shirt"
5,Shirt,Oxford Cloth,XS,orange,114,45,"A orange coloured, XS sized, Oxford Cloth Shirt"
6,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt"
7,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt"
8,Shirt,Oxford Cloth,L,orange,114,48,"A orange coloured, L sized, Oxford Cloth Shirt"
9,Shirt,Oxford Cloth,XL,orange,114,43,"A orange coloured, XL sized, Oxford Cloth Shirt"
10,Shirt,Oxford Cloth,XS,yellow,114,72,"A yellow coloured, XS sized, Oxford Cloth Shirt"
11,Shirt,Oxford Cloth,S,yellow,114,78,"A yellow coloured, S sized, Oxford Cloth Shirt"
12,Shirt,Oxford Cloth,M,yellow,114,56,"A yellow coloured, M sized, Oxford Cloth Shirt"
13,Shirt,Oxford Cloth,L,yellow,114,75,"A yellow coloured, L sized, Oxford Cloth Shirt"
14,Shirt,Oxford Cloth,XL,yellow,114,50,"A yellow coloured, XL sized, Oxford Cloth Shirt"
15,Shirt,Oxford Cloth,XS,green,114,68,"A green coloured, XS sized, Oxford Cloth Shirt"
16,Shirt,Oxford Cloth,S,green,114,56,"A green coloured, S sized, Oxford Cloth Shirt"
17,Shirt,Oxford Cloth,M,green,114,60,"A green coloured, M sized, Oxford Cloth Shirt"
18,Shirt,Oxford Cloth,L,green,114,52,"A green coloured, L sized, Oxford Cloth Shirt"
19,Shirt,Oxford Cloth,XL,green,114,42,"A green coloured, XL sized, Oxford Cloth Shirt"
20,Shirt,Oxford Cloth,XS,blue,114,47,"A blue coloured, XS sized, Oxford Cloth Shirt"
21,Shirt,Oxford Cloth,S,blue,114,51,"A blue coloured, S sized, Oxford Cloth Shirt"
22,Shirt,Oxford Cloth,M,blue,114,57,"A blue coloured, M sized, Oxford Cloth Shirt"
23,Shirt,Oxford Cloth,L,blue,114,59,"A blue coloured, L sized, Oxford Cloth Shirt"
24,Shirt,Oxford Cloth,XL,blue,114,60,"A blue coloured, XL sized, Oxford Cloth Shirt"
25,Shirt,Oxford Cloth,XS,indigo,114,61,"A indigo coloured, XS sized, Oxford Cloth Shirt"
26,Shirt,Oxford Cloth,S,indigo,114,59,"A indigo coloured, S sized, Oxford Cloth Shirt"
27,Shirt,Oxford Cloth,M,indigo,114,62,"A indigo coloured, M sized, Oxford Cloth Shirt"
28,Shirt,Oxford Cloth,L,indigo,114,70,"A indigo coloured, L sized, Oxford Cloth Shirt"
29,Shirt,Oxford Cloth,XL,indigo,114,55,"A indigo coloured, XL sized, Oxford Cloth Shirt"
30,Shirt,Oxford Cloth,XS,violet,114,74,"A violet coloured, XS sized, Oxford Cloth Shirt"
31,Shirt,Oxford Cloth,S,violet,114,41,"A violet coloured, S sized, Oxford Cloth Shirt"
32,Shirt,Oxford Cloth,M,violet,114,65,"A violet coloured, M sized, Oxford Cloth Shirt"
