sales_id,order_id,product_id,price_per_unit,quantity,total_price
0,1,218,106,2,212
1,1,481,118,1,118
2,1,2,96,3,288
3,1,1002,106,2,212
4,1,691,113,3,339
5,1,981,106,3,318
6,2,915,96,1,96
7,2,686,113,1,113
8,2,1091,115,3,345
9,2,1196,105,1,
10,2,157,91,3,273
11,2,1174,99,2,198
12,3,54,104,1,104
13,3,6,96,2,192
14,3,1010,106,2,212
15,4,1033,90,1,90
16,4,1184,99,3,297
17,4,769,109,1,109
18,4,923,96,3,288
19,4,12,96,2,192
20,5,148,91,2,182
21,5,475,118,2,236
22,5,1,96,3,288
23,5,830,117,3,351
24,5,1209,105,3,315
25,5,635,93,3,279
26,5,639,93,3,279
27,5,695,113,1,113
28,6,38,104,2,208
29,6,473,118,2,236
30,6,242,106,1,106
31,6,804,91,2,182
32,7,850,113,2,226
33,7,1162,99,3,297
34,8,765,109,1,109
35,8,256,95,2,190
36,9,203,98,1,98
37,9,486,118,2,236
38,9,708,119,1,119
39,9,1040,90,2,180
40,9,917,96,3,288
41,9,1061,93,2,186
42,9,35,104,2,208
43,10,325,109,3,327
44,10,860,113,2,226
45,10,426,107,3,321
46,11,877,94,2,188
47,11,780,91,3,273
48,12,782,91,1,91
49,12,632,93,2,186
50,12,846,113,3,339
51,12,180,98,1,98
52,13,217,106,2,212
53,13,95,118,3,354
54,13,800,91,2,182
55,13,835,117,1,117
56,13,1249,112,2,224
57,13,753,109,2,218
58,13,114,92,3,276
59,14,1202,105,2,210
60,14,227,106,3,318
61,14,108,92,2,184
62,14,91,118,3,354
63,14,909,94,2,188
64,15,699,113,3,339
65,15,1195,105,3,315
66,15,291,105,2,210
67,15,972,97,3,291
68,15,1212,105,2,210
69,16,7,96,3,288
70,16,381,94,3,282
71,16,17,96,2,192
72,16,297,105,2,210
73,16,28,96,1,96
74,16,934,96,1,96
75,16,324,109,3,327
76,16,578,100,2,200
77,16,273,95,1,95
78,17,132,92,2,184
79,17,791,91,2,182
80,17,463,118,1,118
81,17,1066,93,2,186
82,18,35,104,1,104
83,18,970,97,3,291
84,18,285,105,1,105
85,18,1110,115,3,345
86,18,452,107,1,107
87,19,71,118,1,118
88,19,347,109,2,218
89,19,316,109,2,218
90,19,809,117,3,351
91,19,682,113,3,339
92,20,596,112,2,224
93,20,85,118,3,354
94,20,571,100,1,100
95,20,1114,115,3,345
96,20,514,102,3,306
97,20,681,113,1,113
98,20,1114,115,1,115
99,21,7,96,1,96
100,21,298,105,2,210
101,21,906,94,2,188
102,22,20,96,1,96
103,22,1040,90,2,180
104,22,134,92,1,92
105,22,172,91,2,182
106,22,321,109,3,327
107,22,912,96,1,96
108,23,238,106,2,212
109,23,809,117,3,351
110,24,8,96,1,96
111,24,852,113,2,226
112,25,736,109,3,327
113,25,593,100,2,200
114,26,808,117,2,234
115,26,154,91,3,273
116,26,453,107,1,107
117,27,302,105,2,210
118,27,823,117,1,117
119,27,360,94,1,94
120,27,430,107,1,107
121,27,1027,90,3,
122,27,603,112,1,112
123,27,843,113,2,226
124,28,19,96,2,192
125,28,226,106,2,212
126,28,1158,99,1,99
127,28,730,119,1,119
128,28,2,96,2,192
129,28,761,109,2,218
130,28,684,113,3,339
131,28,922,96,2,192
132,28,1053,93,2,186
133,28,1259,112,3,336
134,28,803,91,2,182
135,29,633,93,1,93
136,29,907,94,3,282
137,29,246,95,2,190
138,29,762,109,3,327
139,30,407,119,2,238
140,30,325,109,2,218
141,30,2,96,1,96
142,30,411,119,2,238
143,30,1167,99,1,99
144,30,462,118,3,354
